@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1066,'2018/02/16 17:41:52:900',12,247.345764,320.713867,51.480404,352.08075,326.363037,72.778908,420.892456,329.550995,75.464401,489.468597,330.748688,72.557724,552.274475,334.159241,65.069946,425.874573,324.90448,48.024899,0,0,0,0,0,0,0,0
1067,'2018/02/16 17:41:52:950',12,247.349747,320.578857,51.486992,352.034607,326.234741,72.785294,420.909149,329.465454,75.469406,489.509583,330.663086,72.560989,552.29187,334.053162,65.072449,425.869659,324.884094,48.028469,0,0,0,0,0,0,0,0
1068,'2018/02/16 17:41:53:000',12,247.446396,320.319794,51.469261,351.973053,326.121399,72.774704,420.864899,329.362732,75.459526,489.463806,330.579651,72.551178,552.257263,333.957886,65.064339,425.834259,324.889832,48.01722,0,0,0,0,0,0,0,0
1069,'2018/02/16 17:41:53:050',12,247.512711,320.249817,51.409134,351.594543,325.898926,72.712967,420.456238,329.090027,75.406235,489.055664,330.375336,72.504913,551.940491,333.70636,65.029968,425.607697,324.932129,47.961838,0,0,0,0,0,0,0,0
1070,'2018/02/16 17:41:53:099',12,247.652283,320.186096,51.368256,351.125824,325.740509,72.64991,419.876556,328.895416,75.357544,488.486938,330.235535,72.470497,551.4552,333.597656,65.012833,425.385559,324.832092,47.913509,0,0,0,0,0,0,0,0
1071,'2018/02/16 17:41:53:150',12,247.796082,320.195801,51.337109,350.736328,325.605408,72.595932,419.454865,328.758789,75.316345,488.028076,330.176849,72.441162,550.939148,333.618225,65.00428,425.219879,324.706512,47.87339,0,0,0,0,0,0,0,0
1072,'2018/02/16 17:41:53:199',12,247.863037,320.404846,51.338638,350.538818,325.559387,72.573227,419.246918,328.74054,75.297661,487.786316,330.133362,72.42868,550.712891,333.539978,64.998611,425.087219,324.586365,47.8564,0,0,0,0,0,0,0,0
1073,'2018/02/16 17:41:53:249',12,247.681992,320.623901,51.348488,350.366241,325.565521,72.562653,419.008118,328.675781,75.287933,487.56076,330.154785,72.41713,550.435425,333.536377,64.990067,424.821899,324.529419,47.845924,0,0,0,0,0,0,0,0
1074,'2018/02/16 17:41:53:301',12,247.463226,320.699249,51.347237,350.045288,325.512146,72.549408,418.646515,328.62442,75.27916,487.197571,330.183716,72.412849,550.074524,333.536133,64.993515,424.543396,324.549988,47.837532,0,0,0,0,0,0,0,0
1075,'2018/02/16 17:41:53:350',12,247.32663,320.786255,51.347519,349.854736,325.563354,72.541519,418.416962,328.638336,75.276215,486.944702,330.252197,72.414352,549.832092,333.577271,65.002022,424.382416,324.565704,47.836105,0,0,0,0,0,0,0,0
1076,'2018/02/16 17:41:53:402',12,247.19223,320.895966,51.354996,349.710114,325.66571,72.542862,418.258759,328.727966,75.280029,486.769043,330.36908,72.421082,549.638123,333.713501,65.014366,424.27124,324.566803,47.843529,0,0,0,0,0,0,0,0
